hsn_code,description
0810.60.00,Durians
08107000,Persimmons
0810.90,Other
0810.90.10,Pomegranates
0810.90.20,"Tamarind, fresh"
0810.90.30,Sapota (chico)
0810.90.40,Custard-apple (ata)
0810.90.50,Bore
0810.90.60,Lichi
0810.90.90,Other
0811,"frozen, whether or not containing added sugar or other sweetening"
0811.10,Strawberries
0811.10.10,Containing added sugar
0811.10.20,Not containaing added sugar
0811.10.90,Other
0811.20.10,Containing added sugar
0811.20.20,Not containaing added sugar
0811.20.90,Other
0811.90,Other
0811.90.10,Containing added sugar
0811.90.90,Other
0812,"dioxide gas, in brine, in sulphur water or in other preservative"
0812.10,Cherries
0812.10.00,Cherries
0812.90,Other
0812.90.10,Mango slices in brine
0812.90.90,Other
0813.10,Apricots
0813.10.00,Apricots
0813.20,Prunes
0813.20.00,Prunes
0813.30,Apples
0813.30.00,Apples
0813.40,Other fruit
0813.40.10,"Tamarind, dried"
0813.40.20,Singoda whole
0813.40.90,Other
0813.50,Mixtures of nuts or dried Fruits of this Chapter
0813.50.10,Mixtures of nuts
0813.50.20,Mixtures of dried fruits
0814.00,"dried or provisionally preserved in brine, in sulphur water or in other"
0901.11,Not decaffeinated
0901.11.11,A Grade
0901.11.12,B Grade
0901.11.13,C Grade
0901.11.19,Other
0901.11.21,AB Grade
0901.11.22,PB Grade
0901.11.23,C Grade
0901.11.24,B/B/B GRADE
0901.11.29,Other
0901.11.31,AB Grade
0901.11.32,PB Grade
0901.11.33,C Grade
0901.11.39,Other
0901.11.41,AB Grade
0901.11.42,PB Grade
0901.11.43,C Grade
0901.11.44,B/B/B GRADE
0901.11.45,Bulk
0901.11.49,Other
0901.11.90,Other
0901.12,decaffeinated
0901.12.00,Decaffeinated
0901.21,Not decaffeinated
0901.21.10,In bulk packing
0901.21.90,Other
0901.22,decaffeinated
0901.22.10,In bulk packing
0901.22.90,Other
0901.90,Other
0901.90.10,Coffee husks and skins
0901.90.20,Coffee substitutes containing coffee
0901.90.90,Other
0902,"Tea, whether or not flavoured."
0902.10.10,content not exceeding 25 g.
0902.10.20,Content exceeding 25 g. but not exceeding 1 kg.
0902.10.30,Content exceeding 1 kg. but not exceeding 3 kg.
0902.10.90,Other
0902.20,Other Green tea (Not fermented)
0902.20.20,Green tea in bulk
0902.20.40,Green tea waste
0902.20.90,Other
0902.30.10,content not exceeding 25 g.
0902.30.20,Content exceeding 25 g. but not exceeding 1 kg.
0902.30.30,Content exceeding 1 kg. but not exceeding 3 kg.
0902.30.90,Other
0902.40,Other black tea (fermented) and Other partly fermented tea
0902.40.10,Content exceeding 3 kg. But not exceeding 20 kg
0902.40.20,"Black tea, leaf in bulk"
0902.40.30,"Black tea, dust in bulk"
0902.40.40,Tea bags
0902.40.50,"Black tea, agglomerated in forms such as ball, brick and tablets"
0902.40.60,"Black tea, waste"
0902.40.90,Other
0903,Maté.
0903.00,Maté.
0903.00.00,Mate
0904.11,Neither crushed nor ground
0904.11.10,"Pepper, long"
0904.11.20,Light black pepper
0904.11.30,"Black pepper, garbled"
0904.11.40,Black pepper ungarbled
0904.11.50,"Green pepper, dehydrated"
0904.11.60,Pepper pinheads
0904.11.70,"Green pepper, frozen or dried"
0904.11.80,"Pepper other than green, frozen"
0904.11.90,Other
0904.12.00,Crushed or ground
0904.21,Dried neither crushed nor ground:
0904.21.10,of genus Capsicum
0904.21.20,of genus Piments
0904.22,Crushed or ground
0904.22.11,Chilly Power
09042212,Chilly seeds
09042219,Other
09042221,Powder
09042229,Other
0905,Vanilla.
09051000,Neither crushed nor ground
0905.20.00,Crushed or ground
0906,Cinnamon and cinnamon-tree flowers.
0906.11,Cinnamon (Cinnamomum zeylanicum Blume)
0906.11.10,Cinnamon bark
0906.11.20,Cinnamon tree flowers
0906.11.90,Other
0906.19,Other
0906.19.10,Cassia
0906.19.90,Other
0906.20.00,Crushed or ground
0907,"Cloves (whole fruit, cloves and stems)."
0907.10,Neither crushed nor ground
0907.1010,Extracted
09071020,Not Extracted (other than stem)
0907.10.30,Stems
0907.10.90,Other
09072000,Crushed or ground
0908,"Nutmeg, mace and cardamoms."
090811,Nutmeg crushed nor ground
09081110,In shell
09081120,Shelled
09081200,Crushed or ground
09082100,Neither crushed nor ground
09082200,Crushed or ground
090831,Neither crushed nor ground
09083110,Large (amomum)
09083120,"Small (ellettaria,) alleppey green"
09083130,Small coorg green
09083140,"Small bleached, half bleached or bleachable"
09083150,Small mixed
09083190,Other
090832,Crushed or ground
09083210,Powder
09083220,Small cardamom seeds
09083230,Cardamom husk
09083290,Other
090921,Neither crushed nor ground
0909.2110,Of seed quality
0909.2190,Other
09092200,Crushed or ground
0909.31,Neither crushed nor ground
09093111,Of seed quality
0909.3119,Other
0909.3121,Of seed quality
0909.31.29,Other
09093200,Crushed or ground
090961,Neither crushed nor ground
09096111,Of seed quality
0909.6119,Other
09096121,Of seed quality
09096129,Other
0909.6131,Of seed quality
09096139,Other
09096141,Of seed quality
09096149,Other
090962,Crushed or ground
09096210,Anise
09096220,Badian
09096230,Caraway or fennel
09096240,Juniper berries :
091011,Neither crushed nor ground
0910.11.10,Fresh
0910.11.20,"Dried, unbleached"
0910.11.30,"Dried, bleached"
0910.11.90,Other
091012,Crushed or ground
09101210,Powder
09101290,Other
0910.20,Saffron
0910.20.10,Saffron stigma
0910.20.20,Saffron stamen
0910.20.90,Other
0910.30,Turmeric (curcuma)
0910.30.10,Fresh
0910.30.20,Dried
0910.30.30,Powder
0910.30.90,Other
0910.9100,-- Mixtures referred to in Note 1 (b) to this Chapter
0910.99,Other
0910.99.11,Celery
0910.99.12,Fenugreek
0910.99.13,Dill
0910.99.14,Ajwain
0910.99.15,Cassia torea
0910.99.19,Other
0910.99.21,Cassia
0910.99.23,Celery
0910.99.24,Fenugreek
0910.99.25,Dill
0910.99.26,Poppy
0910.99.27,Mustard
0910.99.29,Other
0910.99.39,Other
0910.99.90,Other
1001,Wheat and meslin.
1001.11.00,Seed
1001.1900,Other
1001.91.00,Seed
100199,Other
1001.99.10,Wheat
1001.99.20,Meslin :
1002,Rye.
1002.1000,Seed
1002.90.00,Other
1003,Barley.
10031000,Seed
1003.9000,Other
1004,Oats.
10041000,Seed
1004.9000,Other
1005,Maize (corn).
1005.10.00,Seed
1005.90.00,Other
1006,Rice.
1006.10,Rice in the husk (paddy or Rough)
1006.10.10,Of seed quality
1006.10.90,Other
1006.20,Husked (brown) Rice
1006.20.00,Husked rice
1006.30,"Semi-milled or wholly milled Rice, whether or Not polished or glazed"
1006.30.10,"Rice, parboiled"
1006.30.20,Basmati rice
1006.30.90,Other
1006.40,Broken Rice
1006.40.00,Broken rice
1007,Grain sorghum.
10071000,Seed
1007.9000,Other
1008,"Buckwheat, millet and canary seed; other cereals."
1008.10,Buckwheat
1008.10.10,Of seed quality
1008.10.90,Other
100821,Seed:
10082110,Jawar
10082120,Bajra :
10082130,Ragi
100829,Other
10082910,Jawar
10082920,Bajra :
10082930,Ragi
100830,Conary seeds
10083010,Of seed quality
10083090,Other
10084000,Fino (Digitaria spp.)
10085000,Quinoa (Chenopodium quinoa)
10086000,Triticale
100890,Other cereals
10089010,Of seed quality
10089090,Other
1101.00.00,Wheat or meslin flour.
1102,Cereal flours other than of wheat or meslin.
1102.20.00,maize (corn) flour
1102.90,Other
1102.9010,Rye flour
1102.90.90,Other
1103,"Cereal groats, meal and pellets."
1103.11,of wheat
1103.11.10,Groat
1103.11.20,Meal
1103.13,of maize (corn)
1103.13.00,Of maize (corn)
1103.19,of Other cereals
1103.19.00,Of other cereals
1103.20,pellets
1103.20.00,Pellets
1104,"pearled, sliced or kibbled), except rice of heading 1006; germ of"
1104.12,of oats
1104.12.00,Of oats
1104.19,of Other cereals
1104.19.00,Of other cereals
1104.22,of oats
1104.22.00,Of oats
1104.23,of maize (corn)
1104.23.00,Of maize (corn)
1104.29,of Other cereals
1104.29.00,Of other cereals
1104.30,"Germ of cereals, whole, Rolled, flaked or ground"
1104.30.00,"Germ of cereals, whole, rolled, flaked or ground"
1105,"Flour, meal, powder, flakes, granules and pellets of potatoes."
1105.10,"flour, meal and powder"
1105.10.00,"Flour, meal and powder"
1105.20,"Flakes, granules and pellets"
1105.20.00,"Flakes, granules and pellets"
1106,"heading 0713, of sago or of roots or tubers of heading 0714 or of the"
1106.10,Of the dried leguminous vegetables of heading 0713
1106.10.00,Of the dried leguminous vegetables
1106.20,Of sago or of roots or tubers of heading 0714
1106.20.10,Of sago
1106.20.20,Of manioc
1106.20.90,Of other roots and tubers
1106.30,- Of the products of Chapter 8
1106.30.10,Of tamarind
1106.30.20,Of singoda
1106.30.30,Mango flour
1106.30.90,Other
1107,"Malt, whether or not roasted."
1107.10,Not roasted
1107.10.00,Not roasted
1107.20,roasted
1107.20.00,Roasted
1108,Starches; inulin.
1108.11,wheat starch
1108.11.00,Wheat starch
1108.12,maize (corn) starch
1108.12.00,Maize starch
1108.13,Potato starch
1108.13.00,Potato starch
1108.14,Manioc (cassava) starch
1108.14.00,Manioc
1108.19,Other starches
1108.19.10,Sago
1108.19.90,Other
1108.20,Inulin
1108.20.00,Inulin
1109,"Wheat gluten, whether or not dried."
1109.00,"Wheat gluten, whether or not dried."
1109.00.00,"Wheat gluten, whether or not dried"
1201,"Soya beans, whether or not broken."
12011000,Seed
1201.9000,Other
1202.30,Seed
12023010,H.P.S :
1202.3090,Other
120241,In shell
1202.4110,H.P.S :
1202.4190,Other
1202.42,"Shelled, whether or Not Broken"
1202.42.10,"Kernels, H.P.S."
12024220,"Kernels, other"
1202.4290,Other
1203,Copra.
1203.00.00,Copra.
1204,"Linseed, whether or not broken."
1204.00,"Linseed, whether or not broken."
1204.00.10,Of seed quality
1204.00.90,Other
1205,"Rape or colza seeds, whether or not broken."
1205.10,low erucic acid rape or colza Seeds
1205.10.00,Of seed quality
1205.90,Other
1205.90.00,Other
1206,"Sunflower seeds, whether or not broken."
1206.00,"Sunflower seeds, whether or not broken."
1206.00.10,Of seed quality
1206.00.90,Other
1207,"Other oil seeds and oleaginous fruits, whether or not broken."
1207.10,Palm nuts and kernels
1207.10.10,Palm nuts
1207.10.90,Palm Kernels
1207.2100,seed
1207.2900,Other
1207.30,Castor oil seeds:
1207.3010,Of seed quality
1207.30.90,Other
120740,Sesamum seeds
1207.4010,Of seed quality
1207.4090,Other
1207.50,Mustard seeds:
1207.50.10,Of seed quality
1207.5090,Other
120760,Saffower (Carthamus tinctorius) seeds:
12076010,Of seed quality
12076090,Other
120770,Melon seeds:
12077010,Of seed quality
12077090,Other
12079100,Poppy seeds
120799,Other
1207.99.10,Ajams
1207.99.20,Mango kernel
1207.99.30,Niger seed
1207.99.40,Kokam
1207.99.90,Other
1208.10,of soya Beans
1208.10.00,Of soya beans
1208.90,Other
1208.90.00,Other
1209,"Seeds, fruit and spores, of a kind used for sowing."
1209.10.00,Sugar beet seed
1209.2100,Lucerne (alfalfa) Seed
1209.2200,Clover (Trifolium spp.) Seed
1209.23.00,Fescue seed
1209.2400,Kentucky Blue grass (Poa pratensis L.) Seed
1209.2500,"Rye grass (Lolium multiflorum Lam., Lolium perenne L.) Seed"
1209.29,Other
1209.29.10,Australian lupin seeds
1209.29.90,Other
1209.30.00,Seeds of herbaceous plants cultivated principally for their flowers
1209.91,Vegetable Seeds
1209.91.10,Of cabbage
1209.91.20,Of cauliflower
1209.91.30,Of onion
1209.91.40,Of pea
1209.91.50,of radish
1209.91.60,Of Tomato
1209.91.90,Other
1209.99,Other
1209.99.10,Fruit seeds for planting or sowing
1209.99.90,Other
1210.10,"Hop cones, Neither ground nor powdered nor in the form of pellets"
1210.10.00,"Hop cones, neither ground nor powdered nor in the form of pellets"
1210.20,"- Hop cones, ground, powdered or in the form of pellets; lupulin"
1210.20.00,"Hop cones,ground ,powdered or in the form of pellets"
1211,"PHARMACY OR FOR INSECTICIDAL, FUNGICIDAL OR SIMILAR"
1211.20,Ginseng roots
1211.20.00,Ginseng roots
1211.30,Coca leaf
1211.30.00,Coca leaf
1211.40,Poppy straw
1211.40.00,Poppy straw
12115000,Ephedra
1211.90,Other
1211.90.11,Ambrette seeds
1211.90.12,"Nuxvomica,dried ripe seeds"
1211.90.13,Psyllium seed
1211.90.14,Neem seed
1211.90.15,Jojoba seed
1211.90.19,Other
1211.90.21,Belladona leaves
1211.90.22,Senna leaves and pods
1211.90.23,"Neem leaves, powder"
1211.90.24,Gymnema powder
1211.90.25,cubeb powder
1211.90.26,Pyrethrum
1211.90.29,Other
1211.90.31,Cascara sagrada bark
1211.90.32,Psyllium husk
1211.90.33,Camboge fruit rind
1211.90.39,Other
1211.90.41,Belladona roots
1211.90.42,Galangal rhizomes and roots
1211.90.43,lpecec dried rhizome and roots
1211.90.44,Serpentina roots
1211.90.45,Zedovary roots
1211.90.46,Kuth root
1211.90.47,Sarasaparilla roots
1211.90.48,Sweet flag rhizomes
1211.90.49,Other
1211.90.50,Sandalwood chips and dust
1211.90.60,Vinca rosea herbs
1211.90.70,Mint including leaves
1211.90.80,Agarwood
1211.90.91,Chirata
1211.90.92,Tukmaria
1211.90.93,Unab
1211.90.94,"Basil,hyssop,rosemary,sage and savory"
1211.90.95,Lovage
1211.90.96,Garcenia
1211.90.99,Other
121221,Fit for human consumption
1212.21.10,Seaweeds
1212.21.90,Other algae
121229,Other :
12122910,Seaweeds
12122990,Other algae
1212.91.00,Sugar beet
12129200,Locust beans (carob)
1212.9300,Sugar cane
12129400,Chicory roots
121299,Other
12129910,Kokam (cocum) flowers
1212.99.20,Mohua flowers
1212.99.90,Other
1214,"sainfoin, forage kale, lupines, vetches and similar forage products,"
1214.10,Lucerne (alfalfa) meal and pellets
1214.10.00,Lucerne meal and pellets
1214.90,Other
1214.90.00,Other
1301.20,Gum Arabic
1301.20.00,Gum Arabic
1301.90,Other
1301.90.11,Asian gum
1301.90.12,African gum
1301.90.13,Asafoetida
1301.90.14,Benjamin ras
1301.90.15,Benjamin cowrie
1301.90.16,Karaya gum hastab
1301.90.17,Tragacanth
1301.90.18,Storax
1301.90.19,Other
1301.90.21,Copal
1301.90.22,Dammar batu
1301.90.29,Other
1301.90.31,Myrrh
1301.90.32,Oilbanum or frankincense
1301.90.33,Mastic gum
1301.90.34,Xanthium gum
1301.90.39,Other
1301.90.41,Of seeds
1301.90.42,Of fruits
1301.90.43,Of leaves
1301.90.44,Of spices
1301.90.45,Of flowers
1301.90.46,Of roots
1301.90.49,Other
1301.90.99,Other THAN LAC
1302,"pectates; agar-agar and other mucilages and thickeners, whether or"
1302.11,Opium
1302.11.00,Opium
1302.12,of liquorice
1302.12.00,Of liqourice
1302.13,of hops
1302.13.00,Of hops
13021400,Of Ephedra
1302.19,Other
1302.19.11,Of belladona
1302.19.12,Of cascara sagrada
1302.19.13,Of nuxvomica
1302.19.14,Of ginseng
1302.19.15,Of agarose
1302.19.16,Of neem
1302.19.17,Of gymnema
1302.19.18,Of garacenia or cambodge
1302.19.19,Other
1302.19.20,"Cashew shell liquid , crude"
1302.19.30,Purified and distilled CNSL
1302.19.90,Other
1302.20,"Pectic substances, pectinates and pectates"
1302.20.00,"Pectic substances, pectinates and pectates"
1302.31,Agar-Agar
1302.31.00,Agar-agar
1302.32.10,Guar meal
1302.32.20,Guargum refined split
1302.32.30,Guargum treated and pulverised
1302.32.40,Kappa carrageenan
1302.32.90,Other
1302.39,Other
1302.39.00,Other
1401,"example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned,"
1401.10,Bamboos
1401.10.00,Bamboos
1401.20,Rattans
1401.20.00,Rattans
1401.90,Other
1401.90.10,Canes
1401.90.90,Other
1404,Vegetable products not elsewhere specified or included.
1404.20,cotton linters
1404.20.00,Cotton linters
1404.90,Other
1404.90.10,Bidi wrappper leaves
1404.90.21,Powder
1404.90.29,Other
1404.90.30,"Hard seeds,pips,hulls and nuts, of a kind used primarily for carving"
1404.90.40,Betel leaves
1404.90.50,Indian katha
1404.90.60,"Coconut shell , unworked"
1404.90.70,Rudraksha seeds
1404.90.90,Other
1501.1000,Lard
1501.2000,Other pig fat
15019000,Other
150210,Tallow:
1502.10.10,Mutton tallow
1502.1090,Other
1502.9,Other
1502.9010,Unrendered fats
15029020,Rendered fats or solvent extraction fats
15029090,Other
1504.10,fish-liver oils and their fractions
1504.10.10,cod liver oil
1504.10.91,squid liver oil
1504.10.99,other
1504.20,"Fats and oils and their fractions, of fish, Other than liver oils"
1504.20.10,fish body oil
1504.20.20,fish lipid oil
1504.20.30,sperm oil
1504.20.90,Other
1504.30,"Fats and oils and their fractions, of marine mammals"
1504.30.00,"Fats and oils and their fractions, of marine mammals"
1505.00.10,Wood alcohol (including lanolin alcohol)
1505.00.20,"wool grease,crude"
1505.00.90,other
1506.00.10,Neats Foot oil and fats from bone or waste
1506.00.90,Other
1507.10,"Crude oil, whether or Not degummed"
1507.10.00,"crude oil, whether or not degummed"
1507.90,Other
1507.90.10,Edible grade
1507.90.90,Other
1508.10,Crude oil
1508.10.00,crude
1508.90,Other
1508.90.10,Deodorized (Salad Oil)
1508.90.91,Edible grade
1508.90.99,Other
1509.10,Virgin
1509.10.00,Olive oil Virgin
1509.90,Other
1509.90.10,olive oil Edible grade
1509.90.90,Other
1510,"or not refined, but not chemically modified, including blends of"
1510.00,"or not refined, but not chemically modified, including blends of"
1510.00.10,Crude oil
1510.00.91,Edible grade
1510.00.99,Other
1511.10,Crude oil
1511.10.00,Crude oil
1511.90,Other
1511.90.10,Refined bleached deoderised palm oil
1511.90.20,Refined bleached deoderised palmolein
1511.90.90,Other
1512.11,Crude oil
1512.11.10,Sunflower seed oil
1512.11.20,Safflower seed oil (kardi seed oil)
1512.19,Other
1512.19.10,"Sunflower oil, edible grade"
1512.19.20,"Sunflower oil, non-edible grade (othe than crude oil)"
1512.19.30,"Saffola oil, edible grade"
1512.19.40,"Saffola oil, non-edible grade"
1512.19.90,Other
1512.21,"Crude oil, whether or Not gossypol has been removed"
1512.21.00,"Crude oil, whether or not gossypol has been removed"
1512.29,Other
1512.29.10,Edible grade
1512.29.90,Other
1513.11,Crude oil
1513.11.00,Crude oil
1513.19,Other
1513.19.00,Other
1513.21,Crude oil
1513.21.10,Palm kernel oil
1513.21.20,Babbasu oil
1513.29,Other
1513.29.10,Palm kernel oil and its fractions
1513.29.20,Babbasu oil and its fractions edible grade
1513.29.30,"Babbasu oil and its fractions, other than edible grade"
1513.29.90,Other
1514.11,Crude oil
1514.11.10,Colza oil
1514.11.20,Rape oil
1514.11.90,Other
1514.19,Other
1514.19.10,Refined colza oil of edible grade
1514.19.20,Refined rapeseed oil of edible grade
1514.19.90,Other
1514.91,Crude oil
1514.91.10,Colza oil
1514.91.20,Musatrd oil
1514.91.90,Rapeseed oil
1514.99,Other
1514.99.10,Refined colza oil of edible grade
1514.99.20,Refined mustard oil of edible grade
1514.99.30,Refined rapeseed oil of edible grade
1514.99.90,Other
1515.11,Crude oil
1515.11.00,Linseed Crude oil
1515.19,Other
1515.19.10,Edible grade
1515.19.90,Other
1515.21,Crude oil
1515.21.00,Crude oil
1515.29,Other
1515.29.10,Edible grade
1515.29.90,Other
1515.30,Castor oil and its fractions
1515.30.10,Edible grade
1515.30.90,Other
1515.50,Sesame oil and its fractions
1515.50.10,Crude oil
1515.50.91,Edible grade
1515.50.99,other
1515.90,Other
1515.90.20,"cotton seed oil, khkon oil, water melon oil, kusum oil, rubber seed oil,"
